Ticker,date,close,volume,sentiment,headline,News_Body,Time,seq
,6/12/2014,,,,"Intel Raises Revenue Outlook, Cites Business PC Demand -- 4th Update","<pre>
By Don Clark and Josh Beckerman </pre>
<p>
     Intel Corp. dispensed a dose of hope for the beleaguered personal computer business, boosting its financial estimates because of stronger-than-expected demand for business PCs. </p>
<p>
     The Silicon Valley giant, whose chips manage calculating functions in most computers, on Thursday said the pickup should generate $700 million more revenue in the current quarter than previously expected. Intel also said it now expects some revenue growth for the year instead of flat results. </p>
<p>
     The last time Intel was prompted to raise its financial outlook was in the third quarter of 2009. Its stock jumped in after-hours trading Thursday. </p>
<p>
     The news counters a long gloomy spell in the PC sector, as consumers shifted their spending to smartphones and tablets. At businesses, meanwhile, many companies saw little reason to upgrade hardware that was performing adequately. </p>
<p>
     But several factors have changed the dynamics, analysts say. Most recently, Microsoft Corp. ended technical support for its aging Windows XP operating system, spurring many companies to consider buying new machines using more recent software. </p>
<p>
     More broadly, companies have begun to realize that mobile devices don't meet employee needs for many kinds of tasks. </p>
<p>
     ""PCs are not going away in business,"" said Bob O'Donnell, president and chief analyst of TECHnalysis Research. ""They are not being replaced by tablets and smartphones."" </p>
<p>
     Mr. O'Donnell said that conclusion was bolstered by a survey in April he conducted of employees at companies. Some 78% of respondents said they used a PC when working in their jobs, while 13% said they used smartphones and only 8% used tablets, he said. </p>
<p>
     He and other market watchers are quick to note that strong demand is limited to businesses, and mainly in the U.S. and other developed countries. ""The consumer side is still weak,"" said Jay Chou, an analyst at IDC. </p>
<p>
     His firm predicts total PC unit shipments will decline 6% in 2014, with business PCs off 4.3%. </p>
<p>
     The forecast issued by Intel was more upbeat. For the second quarter, the chip maker said it now expects revenue of $13.7 billion, plus or minus $300 million, an estimate that points to 7% growth over the year-earlier period. Intel had previously predicted revenue of $13 billion, plus or minus $500 million. </p>
<p>
     Intel didn't quantify its yearly revenue guidance, other than to point to some growth, which it also attributed to business PC demand. </p>
<p>
     Another factor affecting demand is that new ""2-in-1"" PCs promoted by Intel and some of its customers--devices that can convert from clamshell to tablet mode--are attracting some interest at companies, Mr. O'Donnell said. For that reason and others, he predicts the business PC pickup may last 12 months to 19 months. </p>
<p>
     But others wonder what will happen after the short-term pressure to upgrade hardware because of Windows XP fades. ""The big question in my mind is sustainability,"" said Stacy Rasgon, an analyst at Sanford C. Bernstein. </p>
<p>
     Besides revenue, Intel predicted gains in its closely watched gross profit margin. For the second quarter, Intel forecast that the midpoint of its gross margin range will rise by one point to 64%, with guidance for the full year at 61%, plus or minus a few percentage points. </p>
<p>
     Write to Don Clark at don.clark@wsj.com and Josh Beckerman at josh.beckerman@wsj.com </p>
<pre>
 </pre>
<p>
  (END) Dow Jones Newswires</p>
<p>
  June 12, 2014 18:21 ET (22:21 GMT)</p>
",10:21:33 PM,10679
,6/20/2014,,,,Can Apple Crack the Smartwatch Code?,"<pre>
By Daisuke Wakabayashi, Eva Dou and Lorraine Luk </pre>
<p>
     Apple Inc. is ready to join Google Inc., Samsung Electronics Co. and a host of startups making smartwatches and, potentially, other wearable computing devices. </p>
<p>
     But it isn't clear how much consumers want the devices. Those on the market so far haven't sold well, because most wearable devices only offer a limited set of features already found on a smartphone. </p>
<p>
     Apple is planning multiple versions of a smartwatch--dubbed the iWatch in the media--later this year, according to people familiar with the matter. The devices will include more than 10 sensors to track and monitor health and fitness data, these people said. Taiwanese manufacturer Quanta Computer Inc. is expected to start producing the devices in two to three months, they said. </p>
<p>
     As growth in smartphones and tablet computers slows, Apple and others are considering wearable devices as an enticing new market. Smaller sensors, flexible screens and ubiquitous wireless connectivity have the potential to usher in a new era of computing where all devices will become ""smart,"" collecting and processing data from daily life. </p>
<p>
     So far, that hasn't led to big sales. World-wide shipments of wearable devices--including smartwatches and activity trackers--totaled about 2.9 million units in the first quarter, according to ABI Research. That is about 1% of the 300 million smartphones shipped during the same period. Apple said it alone sold 43.7 million iPhones in that quarter. </p>
<p>
     Some industry watchers think Apple, with its record of success in defining new product segments with the iPhone and iPad, will crack the code. </p>
<p>
     Apple's ability to design both hardware and software gives it a leg up on competitors because it can present a cohesive vision for a new product, said Nick Spencer, an analyst at ABI Research. </p>
<p>
     A person at one of Apple's component suppliers said the Cupertino, Calif., company expects to ship 10 million to 15 million smartwatches this year. By comparison, Apple sold 1.1 million iPhones in the first quarter it was available in 2007. </p>
<p>
     ""We haven't really seen the big players come out with their best shot,"" said J.P. Gownder, an analyst at Forrester Research. ""No one has done anything completely serious."" </p>
<p>
     Apple spokeswoman Natalie Kerrisdeclined to comment. </p>
<p>
     Tim Cook, Apple's chief executive who has pledged to push the company into new product segments later this year, has expressed interest in wearable devices and sees it as an area worth exploring. </p>
<p>
     ""There are lots of gadgets in this space right now, but there's nothing great out there,"" Mr. Cook said at a conference last year. ""There are a lot of problems to solve in this space."" </p>
<p>
     The new details of Apple's plans come ahead of Google's I/O conference for developers next week in San Francisco, where wearable devices are expected to be a major focus. Earlier this year, Google introduced Android Wear, a version of its Android operating system for wearables. </p>
<p>
     LG Electronics Inc. and Motorola--the unit that Google agreed to sell to Lenovo Group Inc. for nearly $3 billion--are expected to introduce watches running on Android Wear later this year. </p>
<p>
     Samsung had used Android for its first Galaxy Gear smartwatch launched last year, but switched to Tizen, its homegrown operating system, for its second version, the Gear 2. </p>
<p>
     Google's ambitions in wearable devices go beyond the wrist. Google Glass, the company's Web-connected eyewear, has garnered a lot of attention, much of it negative because of privacy concerns. The company also is working on a smart contact lens that it hopes will measure blood-sugar levels of diabetes sufferers by monitoring their tears. </p>
<p>
     Already rivals in smartphone software, Apple and Google are expected to battle to control the health-related data collected by wearables. Earlier this month, Apple announced HealthKit, a system to collect and share data from various third-party wearable devices and apps. It also announced an app called Health to monitor that data on the iPhone. Google is expected to follow suit with a similar service at its conference next week. </p>
<p>
     Despite the hype around wearable devices, mainstream adoption has been slow. Currently, the best-selling devices are activity trackers such as the Fitbit Force, Jawbone Up, Garmin Vivofit and Nike Inc.'s FuelBand. Earlier this year, Nike announced layoffs at the division responsible for the FuelBand, sparking speculation that the product wasn't selling well. </p>
<p>
     Omar Siddiqui, chief executive of Kiwi, a developer of mobile games for Android and Apple's iOS, suggested that looking at today's sales is misleading because the applications that will attract users haven't been created yet. </p>
<p>
     ""There are so many other use cases that we may not have thought of yet,"" he said. </p>
<p>
     ABI Research's Mr. Spencer said applications will emerge once component makers produce parts designed specifically for wearable products--rather than repurposed smartphone parts--to allow more design options. </p>
<p>
     Mr. Spencer said there is currently too much focus on the watch. The true potential of wearable devices, he said, is in the data that they collect not necessarily in the shape of the hardware. </p>
<p>
     Earlier this year, Intel Corp. Chief Executive Brian Krzanich unveiled a major push into wearable technology, showing off prototypes of new wearable devices developed by the company including a smartwatch and a smart earphone headset. He also announced a new chip called Edison aimed at wearable gadgets. </p>
<p>
     ""We're looking at a broad ecosystem of wearables,"" Mr. Krzanich said during a speech at the CES technology conference in Las Vegas. </p>
<p>
     Apple has hired a number of designers, engineers and executives from both the fashion industry and medical device world to work on its forthcoming smartwatch, said people familiar with the matter. The company has been working on ways to use advanced sensors to track a person's blood pressure and hydration levels, these people said. </p>
<p>
     The recent hires include Michael O'Reilly, former chief medical officer of Masimo Corp., which makes a finger-sized device to measure oxygen in the blood without drawing blood. In December, Mr. O'Reilly accompanied a group of senior Apple executives to a meeting at the U.S. Food and Drug Administration regarding ""mobile medical applications."" </p>
<p>
     Alistair Barr contributed to this article. </p>
<p>
  Write to Daisuke Wakabayashi at Daisuke.Wakabayashi@wsj.com, Eva Dou at eva.dou@wsj.com and Lorraine Luk at lorraine.luk@wsj.com </p>
<pre>
 </pre>
<p>
  (END) Dow Jones Newswires</p>
<p>
  June 20, 2014 19:31 ET (23:31 GMT)</p>
",11:31:24 PM,10228
,10/16/2014,,,,Advanced Micro Devices Plans Layoffs,"<pre>
By Don Clark And Josh Beckerman </pre>
<p>
     Advanced Micro Devices Inc. said it plans to cut its workforce by 7% as part of a restructuring plan to be executed by the chip maker's new chief executive, Lisa Su. </p>
<p>
     ""While decisions that impact the size of our global team are never entered into lightly, this is the right step to ensure we prioritize our resources and engineering investments, "" Ms. Su said. AMD had 10,149 employees at the end of the period, indicating the cuts will affect about 700 people. </p>
<p>
     Ms. Su, who pushed to reduce the company's reliance on the PC market, replaced Rory Read, who served as chief executive for three years. </p>
<p>
     The restructuring, which AMD said will cause $57 million in charges in the current quarter, come as the chip maker reported third-quarter results that reflect its continued pressures in sales to personal computer makers. </p>
<p>
     AMD's report comes two days after longtime rival Intel Corp. announced surprisingly strong growth for chips used in PCs. Intel on Tuesday said revenue for that segment up 9%, with shipments of chips for notebook computers rose 21%. </p>
<p>
     Write to Don Clark at don.clark@wsj.com and Josh Beckerman at josh.beckerman@wsj.com </p>
<pre>
 </pre>
<p>
  (END) Dow Jones Newswires</p>
<p>
  October 16, 2014 16:34 ET (20:34 GMT)</p>
",8:34:13 PM,12499
,11/20/2014,,,,Intel Projects 2015 Revenue Growth in 'Mid- Single Digits',"<pre>
 </pre>
<p>
  (MORE TO FOLLOW) Dow Jones Newswires</p>
<p>
  November 20, 2014 12:39 ET (17:39 GMT)</p>
",5:39:10 PM,8548
,11/20/2014,,,,Intel Puts 2015 Gross Margin at About 62%,"<pre>
 </pre>
<p>
  (MORE TO FOLLOW) Dow Jones Newswires</p>
<p>
  November 20, 2014 12:43 ET (17:43 GMT)</p>
",5:43:00 PM,8567
,1/15/2015,,,,Intel Reports Jump in Profits,"<pre>
By Don Clark </pre>
<p>
     Intel Corp. on Thursday said its net income jumped 39% in the fourth quarter, as the big chip maker reaped the benefits of improved personal computer sales and continued demand for server systems. </p>
<p>
     The company's revenue increased 6% from a year earlier, while its gross profit margin of 65.4% was lower than the 65% in the third quarter. </p>
<p>
     Shares of Intel fell 1.4% in recent after-hours trading. </p>
<p>
     Intel, the biggest supplier of chips that handle calculations in computers, had suffered as consumer spending shifted from PCs to smartphones and tablets. But its business began recovering last spring, as the threat that tablets based on competing technology would replace PCs at many companies has receded. </p>
<p>
     In all, Intel reported net income for the quarter ended Dec. 27 of $3.66 billion, or 74 cents per share, compared with a profit in the year-earlier period of $2.63 billion, or 51 cents a share. Revenue rose to $14.72 billion from $13.83 billion. </p>
<p>
     Analysts polled by Thomson Reuters expected per-share earnings of 66 cents and revenue of $14.71 billion. </p>
<p>
     For the current first quarter, Intel projected revenue between $13.2 billion and $14.2 billion and gross margin of 60%, plus or minus a couple percentage points. </p>
<p>
     Tess Stynes contributed to this article. </p>
<p>
  Write to Don Clark at don.clark@wsj.com </p>
<pre>
</pre>
<p>
  Corrections &amp; Amplifications</p>
<p>
  This item was corrected at 4:24 p.m. ET to show that Intel's gross margin was 65.4%, not 63.7%. </p>
<pre>
  </pre>
<p>
  Access Investor Kit for Intel Corp.</p>
<p>
  Visit http://www.companyspotlight.com/partner?cp_code=P479&amp;isin=US4581401001</p>
<p>
  (END) Dow Jones Newswires</p>
<p>
  January 15, 2015 16:09 ET (21:09 GMT)</p>
",9:09:43 PM,10681
,3/6/2015,,,,Apple to join Dow Jones Industrial Average,"<pre>
 </pre>
<p>
  (MORE TO FOLLOW) Dow Jones Newswires</p>
<p>
  March 06, 2015 09:00 ET (14:00 GMT)</p>
",2:00:00 PM,5072
,3/6/2015,,,,Apple to replace AT&T in the Dow,"<pre>
 </pre>
<p>
  (MORE TO FOLLOW) Dow Jones Newswires</p>
<p>
  March 06, 2015 09:00 ET (14:00 GMT)</p>
",2:00:00 PM,5073
,3/6/2015,,,,Change effective after close of trading on March 18,"<pre>
 </pre>
<p>
  (MORE TO FOLLOW) Dow Jones Newswires</p>
<p>
  March 06, 2015 09:00 ET (14:00 GMT)</p>
",2:00:00 PM,5074
,3/6/2015,,,,"Apple Added To Dow Industrials, Replaces AT&T","<pre>
By Colin Barr </pre>
<p>
     Apple Inc. will join the Dow Jones Industrial Average this month, a long-anticipated change that adds the world's most-valuable company to the 119-year-old blue-chip index. </p>
<p>
     The move is the latest milestone for Apple, which has emerged in recent years as the standard-bearer for a resurgent U.S. technology sector. The Cupertino, Calif., company in January reported latest-quarter net income of $18 billion, the largest quarterly profit on record, fueled by roaring sales of iPhones. </p>
<p>
     Apple will replace telecommunication giant AT&amp;T Inc., according to S&amp;P Dow Jones Indices, the unit of McGraw Hill Financial Inc. that owns the Dow. </p>
<p>
     Apple's addition caps the ascendancy of tech in the Dow that started in 1999 when software giant Microsoft Corp. and semiconductor maker Intel Corp. joined, a nod to the ""New Economy"" boom then sweeping the U.S. Like Apple, both companies are listed on Nasdaq. Previously, all Dow components had been listed on the New York Stock Exchange, though there weren't any restrictions against having a Nasdaq stock. </p>
<p>
     Apple will join the Dow at the close of trading March 18. The shake-up won't affect the value of the Dow, which is up 1.8% this year and has hit more than 90 record closes in the past two years. Apple stock has been one of the market's monster performers in recent years, posting an annualized total return, reflecting price gains and dividend payments, of 69% over the past year and 36% over a decade. </p>
<p>
     The shift in Dow components reflects Apple's technology leadership and the need to rejigger the index for a pending 4-for-1 stock split by Dow component Visa Inc., according to S&amp;P Dow Jones Indices. </p>
<p>
     Unlike other major indexes, which have hundreds of component companies and are weighted by companies' market value, the Dow has just 30 members and is price-weighted. The split by Visa, classified as an information-technology firm, would sharply reduce the index's technology weighting if not for the addition of Apple. </p>
<p>
     ""Apple is the clear choice for the Dow Jones Industrial Average, the most recognized stock market measure,"" says David M. Blitzer, chairman of the Index Committee at S&amp;P Dow Jones Indices. </p>
<p>
     Component stocks of the Dow are selected by the index committee, a group that includes editors of The Wall Street Journal, which is published by Dow Jones &amp; Co., a part of News Corp. </p>
<p>
     The decision ends a long period of waiting for Apple investors and consumers, some of whom have questioned previous decisions by the index committee to add other companies to the Dow even as Apple rose to the top of the global market value and profitability tables. </p>
<p>
     Apple's market value, recently $736 billion, reached as high as $775 billion last month, the highest on record. In the most recent quarter, the company sold iPhones at a clip of 568 a minute. Its current market value is nearly double that of the No. 2 global company, Google Inc., at $391 billion. </p>
<p>
     Apple's ascendancy comes as the Nasdaq Composite Index this week eclipsed 5000 for the first time since March 2000, an event that underscored the vast changes in the economy, the financial markets and various stock indexes over the past 15 years. Apple wasn't one of the 20 largest Nasdaq companies the last time the index traded above 5000. </p>
<p>
     To be sure, Apple faces headwinds including an unpredictable market for consumer technologies and a near universal assumption that it will continue to expand revenue and profit and a strong pace. Microsoft and Intel were viewed as similarly unstoppable when they were added to the Dow, but their shares have performed poorly since the Nasdaq's last record close on March 10, 2000. </p>
<p>
     At the same time, fans of the company note that Apple remains far from outrageously priced. Apple's shares trade now at 17 times their latest 12 months' earnings, compared with Microsoft's trailing price-to-earnings ratio of 75 in March 2000. </p>
<p>
     In part, Apple's addition to the index was paved by the company's decision last year to split its stock. Apple shares exceeded $600 each before the company moved in 2014 to execute a 7-for-1 split, a move that didn't affect the company's market value but reduced its per-share price to a recent $126.41. </p>
<p>
     S&amp;P Dow Jones Indices said the shift will increase the Dow's technology representation and reduce its holdings of telecommunications companies in line with the S&amp;P 500. AT&amp;T, with a per-share price of $34 and a market value of $176 billion, wasn't one of the highest-priced Dow stocks, and was smaller on both a price and market-value basis than a similar rival, Verizon Communications Inc. AT&amp;T had been a member of the Dow since 2005. </p>
<p>
     Visa's split, which takes effect at the same time as the Apple-AT&amp;T shift, stands to reduce its share price to around $68 from a recent $274.13. </p>
<p>
     ""The Dow is price weighted, so extremely high stock prices tend to distort the index while very low stock prices have little impact,"" Mr. Blitzer said. </p>
<p>
     The change in the index is the first since 2013, when Goldman Sachs Group Inc., Visa and Nike Inc. replaced Bank of America Corp., Hewlett-Packard Co. and Alcoa Inc. </p>
<p>
     The swap of Apple for AT&amp;T is the first one-company shift in the index since 2012, when UnitedHealth Group Inc. replaced Kraft Foods Inc., which was preparing to spin off its North American grocery business. </p>
<p>
     Write to Colin Barr at colin.barr@wsj.com </p>
<pre>
 </pre>
<p>
  Access Investor Kit for AT&amp;T, Inc.</p>
<p>
  Visit http://www.companyspotlight.com/partner?cp_code=P479&amp;isin=US00206R1023</p>
<p>
  Access Investor Kit for Alcoa, Inc.</p>
<p>
  Visit http://www.companyspotlight.com/partner?cp_code=P479&amp;isin=US0138171014</p>
<p>
  Access Investor Kit for Apple, Inc.</p>
<p>
  Visit http://www.companyspotlight.com/partner?cp_code=P479&amp;isin=US0378331005</p>
<p>
  Access Investor Kit for Bank of America Corp.</p>
<p>
  Visit http://www.companyspotlight.com/partner?cp_code=P479&amp;isin=US0605051046</p>
<p>
  Access Investor Kit for The Dow Chemical Co.</p>
<p>
  Visit http://www.companyspotlight.com/partner?cp_code=P479&amp;isin=US2605431038</p>
<p>
  Access Investor Kit for The Goldman Sachs Group, Inc.</p>
<p>
  Visit http://www.companyspotlight.com/partner?cp_code=P479&amp;isin=US38141G1040</p>
<p>
  Access Investor Kit for Intel Corp.</p>
<p>
  Visit http://www.companyspotlight.com/partner?cp_code=P479&amp;isin=US4581401001</p>
<p>
  Access Investor Kit for McGraw Hill Financial, Inc.</p>
<p>
  Visit http://www.companyspotlight.com/partner?cp_code=P479&amp;isin=US5806451093</p>
<p>
  Access Investor Kit for Mondelez International, Inc.</p>
<p>
  Visit http://www.companyspotlight.com/partner?cp_code=P479&amp;isin=US6092071058</p>
<p>
  Access Investor Kit for NIKE, Inc.</p>
<p>
  Visit http://www.companyspotlight.com/partner?cp_code=P479&amp;isin=US6541061031</p>
<p>
  Access Investor Kit for UnitedHealth Group, Inc.</p>
<p>
  Visit http://www.companyspotlight.com/partner?cp_code=P479&amp;isin=US91324P1021</p>
<p>
  Access Investor Kit for Visa, Inc.</p>
<p>
  Visit http://www.companyspotlight.com/partner?cp_code=P479&amp;isin=US92826C8394</p>
<p>
  (END) Dow Jones Newswires</p>
<p>
  March 06, 2015 09:00 ET (14:00 GMT)</p>
",2:00:00 PM,5075
,3/12/2015,,,,Intel Cuts Revenue Outlook,"<pre>
By Chelsey Dulaney </pre>
<p>
     Intel Corp. lowered its first-quarter revenue outlook, citing weaker-than-expected demand for business desktop computers and lower-than-expected inventory levels across the PC supply chain. </p>
<p>
     The semiconductor maker said it now expects first-quarter revenue to be $12.8 billion, plus or minus $300 million, compared with the previous expectation of $13.7 billion, plus or minus $500 million. </p>
<p>
     Intel added that its data center business is meeting expectations. </p>
<p>
     Write to Chelsey Dulaney at Chelsey.Dulaney@wsj.com </p>
<pre>
 </pre>
<p>
  Access Investor Kit for Intel Corp.</p>
<p>
  Visit http://www.companyspotlight.com/partner?cp_code=P479&amp;isin=US4581401001</p>
<p>
  (END) Dow Jones Newswires</p>
<p>
  March 12, 2015 09:08 ET (13:08 GMT)</p>
",1:08:11 PM,7093
,3/27/2015,,,,Intel Is In Talks To Buy Altera -- Sources,"<pre>
 </pre>
<p>
  (MORE TO FOLLOW) Dow Jones Newswires</p>
<p>
  March 27, 2015 15:32 ET (19:32 GMT)</p>
",7:32:38 PM,9703
